R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
1.242	0.296	8.000	28.000	29.000	57.000	0.050	0.030	0.030	0.010	0.030	0.030	0.040	0.130	0.110	0.000	0.150	0.140	0.090	0.020	0.020	0.070	0.010	0.010	0.030
1.986	0.410	8.000	28.000	26.000	54.000	0.060	0.020	0.000	0.030	0.020	0.050	0.090	0.090	0.070	0.000	0.190	0.150	0.040	0.040	0.050	0.050	0.030	0.010	0.010
0.513	0.276	8.000	27.000	27.000	54.000	0.040	0.020	0.010	0.050	0.040	0.080	0.030	0.070	0.110	0.000	0.160	0.160	0.050	0.040	0.010	0.050	0.040	0.030	0.010
1.899	0.322	8.000	24.000	28.000	52.000	0.060	0.030	0.020	0.020	0.070	0.030	0.010	0.100	0.090	0.000	0.150	0.160	0.090	0.040	0.010	0.020	0.050	0.040	0.010
0.724	0.410	8.000	30.000	34.000	64.000	0.050	0.010	0.010	0.000	0.010	0.080	0.030	0.110	0.140	0.010	0.160	0.190	0.070	0.060	0.040	0.010	0.000	0.010	0.010
1.044	0.325	7.000	36.000	22.000	58.000	0.060	0.040	0.020	0.010	0.030	0.040	0.050	0.060	0.120	0.000	0.200	0.140	0.060	0.030	0.030	0.010	0.040	0.050	0.010
2.622	0.371	8.000	26.000	26.000	52.000	0.060	0.040	0.000	0.040	0.000	0.060	0.000	0.120	0.100	0.000	0.170	0.120	0.140	0.030	0.050	0.030	0.020	0.020	0.000
1.432	0.329	7.000	35.000	32.000	67.000	0.020	0.050	0.010	0.020	0.040	0.000	0.080	0.140	0.130	0.000	0.160	0.120	0.040	0.060	0.060	0.010	0.010	0.020	0.030
1.117	0.280	8.000	26.000	33.000	59.000	0.030	0.030	0.030	0.020	0.050	0.050	0.030	0.120	0.120	0.000	0.140	0.140	0.050	0.020	0.060	0.040	0.030	0.020	0.020
1.221	0.314	8.000	24.000	29.000	53.000	0.030	0.010	0.050	0.010	0.040	0.030	0.070	0.120	0.090	0.010	0.150	0.150	0.090	0.040	0.030	0.020	0.020	0.030	0.010
3.668	0.391	7.000	34.000	45.000	79.000	0.020	0.020	0.040	0.040	0.020	0.040	0.050	0.120	0.080	0.000	0.210	0.170	0.030	0.070	0.010	0.010	0.010	0.050	0.010
1.034	0.362	7.000	35.000	24.000	59.000	0.050	0.040	0.030	0.000	0.010	0.020	0.070	0.070	0.090	0.000	0.220	0.170	0.110	0.030	0.040	0.030	0.010	0.000	0.010
2.330	0.294	8.000	21.000	27.000	48.000	0.030	0.020	0.040	0.050	0.030	0.020	0.070	0.130	0.110	0.000	0.100	0.120	0.080	0.040	0.050	0.020	0.030	0.040	0.020
0.573	0.326	8.000	26.000	28.000	54.000	0.050	0.010	0.060	0.010	0.010	0.040	0.040	0.120	0.130	0.000	0.140	0.140	0.040	0.080	0.060	0.020	0.000	0.020	0.030
1.480	0.380	8.000	50.000	26.000	76.000	0.050	0.010	0.040	0.000	0.030	0.000	0.050	0.100	0.160	0.000	0.230	0.140	0.040	0.060	0.040	0.010	0.000	0.020	0.020
1.056	0.386	7.000	32.000	37.000	69.000	0.080	0.010	0.030	0.010	0.010	0.000	0.030	0.120	0.160	0.000	0.130	0.170	0.080	0.060	0.050	0.040	0.000	0.010	0.010
3.122	0.352	7.000	20.000	34.000	54.000	0.050	0.010	0.030	0.040	0.010	0.010	0.130	0.110	0.060	0.000	0.140	0.150	0.080	0.060	0.050	0.000	0.020	0.020	0.030
1.811	0.346	7.000	26.000	38.000	64.000	0.010	0.010	0.060	0.030	0.020	0.010	0.080	0.180	0.160	0.000	0.100	0.080	0.070	0.050	0.040	0.010	0.020	0.030	0.040
0.659	0.288	8.000	29.000	26.000	55.000	0.020	0.020	0.030	0.050	0.010	0.030	0.090	0.110	0.130	0.000	0.160	0.130	0.040	0.030	0.040	0.060	0.010	0.010	0.030
1.400	0.375	8.000	30.000	49.000	79.000	0.050	0.000	0.020	0.020	0.040	0.050	0.060	0.070	0.090	0.000	0.170	0.240	0.090	0.020	0.030	0.000	0.040	0.000	0.010
1.855	0.401	8.000	30.000	29.000	59.000	0.070	0.070	0.010	0.000	0.030	0.040	0.010	0.070	0.130	0.000	0.150	0.160	0.070	0.030	0.010	0.070	0.040	0.040	0.000
0.735	0.386	9.000	32.000	27.000	59.000	0.020	0.040	0.000	0.040	0.020	0.040	0.040	0.120	0.150	0.000	0.170	0.110	0.120	0.020	0.010	0.080	0.010	0.010	0.000
6.177	0.505	7.000	12.000	74.000	86.000	0.040	0.010	0.000	0.020	0.030	0.010	0.090	0.270	0.060	0.000	0.040	0.120	0.090	0.140	0.030	0.020	0.010	0.010	0.010
0.596	0.253	8.000	38.000	33.000	71.000	0.000	0.020	0.020	0.030	0.050	0.080	0.030	0.120	0.160	0.000	0.140	0.130	0.030	0.050	0.070	0.040	0.000	0.010	0.020
0.790	0.285	9.000	31.000	29.000	60.000	0.030	0.020	0.000	0.060	0.050	0.020	0.040	0.110	0.140	0.010	0.170	0.100	0.090	0.040	0.040	0.010	0.030	0.030	0.010
1.129	0.305	9.000	37.000	28.000	65.000	0.020	0.020	0.020	0.020	0.040	0.040	0.110	0.080	0.120	0.000	0.190	0.160	0.000	0.030	0.040	0.070	0.020	0.000	0.020
0.659	0.368	8.000	39.000	42.000	81.000	0.050	0.030	0.020	0.060	0.000	0.020	0.020	0.080	0.110	0.000	0.200	0.210	0.050	0.030	0.060	0.010	0.050	0.000	0.000
0.732	0.303	8.000	32.000	29.000	61.000	0.040	0.010	0.010	0.020	0.030	0.010	0.080	0.160	0.100	0.000	0.200	0.110	0.080	0.060	0.030	0.020	0.010	0.030	0.000
0.914	0.289	8.000	29.000	18.000	47.000	0.050	0.000	0.030	0.000	0.070	0.050	0.090	0.050	0.090	0.010	0.180	0.130	0.070	0.030	0.060	0.060	0.010	0.010	0.010
0.491	0.235	8.000	27.000	30.000	57.000	0.020	0.050	0.010	0.050	0.040	0.050	0.050	0.060	0.130	0.010	0.120	0.160	0.070	0.020	0.070	0.020	0.030	0.020	0.020
1.660	0.350	9.000	50.000	23.000	73.000	0.020	0.030	0.000	0.000	0.060	0.040	0.070	0.130	0.220	0.000	0.130	0.080	0.080	0.010	0.020	0.000	0.040	0.010	0.060
2.529	0.299	8.000	37.000	21.000	58.000	0.020	0.040	0.030	0.010	0.040	0.020	0.050	0.120	0.120	0.000	0.210	0.090	0.070	0.060	0.050	0.040	0.010	0.020	0.000
0.349	0.313	7.000	39.000	21.000	60.000	0.020	0.030	0.000	0.010	0.040	0.030	0.140	0.050	0.130	0.010	0.220	0.120	0.030	0.080	0.040	0.020	0.000	0.010	0.020
1.818	0.329	9.000	36.000	15.000	51.000	0.050	0.010	0.020	0.040	0.040	0.050	0.070	0.060	0.120	0.010	0.160	0.090	0.060	0.070	0.070	0.030	0.000	0.020	0.030
2.072	0.314	7.000	25.000	30.000	55.000	0.020	0.030	0.020	0.050	0.020	0.040	0.060	0.160	0.100	0.010	0.150	0.100	0.050	0.020	0.040	0.030	0.050	0.040	0.010
2.187	0.373	8.000	28.000	31.000	59.000	0.060	0.000	0.010	0.040	0.050	0.050	0.010	0.120	0.100	0.000	0.140	0.150	0.100	0.060	0.040	0.040	0.010	0.000	0.020
