R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
1.079	0.238	7.000	17.000	33.000	50.000	0.000	0.050	0.020	0.000	0.060	0.080	0.090	0.120	0.080	0.000	0.090	0.130	0.090	0.050	0.050	0.020	0.030	0.010	0.030
1.502	0.258	6.000	35.000	21.000	56.000	0.010	0.010	0.060	0.020	0.080	0.040	0.080	0.050	0.120	0.000	0.130	0.130	0.070	0.040	0.050	0.070	0.020	0.020	0.000
1.333	0.266	6.000	18.000	32.000	50.000	0.030	0.010	0.050	0.030	0.040	0.060	0.090	0.070	0.070	0.000	0.090	0.120	0.130	0.120	0.030	0.020	0.000	0.030	0.010
1.443	0.257	8.000	30.000	28.000	58.000	0.010	0.010	0.020	0.040	0.070	0.120	0.020	0.090	0.120	0.000	0.080	0.110	0.080	0.100	0.060	0.010	0.050	0.000	0.010
1.223	0.239	7.000	29.000	23.000	52.000	0.010	0.020	0.040	0.030	0.060	0.110	0.050	0.100	0.090	0.000	0.090	0.070	0.090	0.060	0.090	0.010	0.020	0.040	0.020
1.539	0.250	7.000	23.000	45.000	68.000	0.000	0.010	0.030	0.060	0.020	0.050	0.090	0.120	0.080	0.000	0.110	0.180	0.100	0.080	0.010	0.020	0.040	0.000	0.000
0.668	0.233	8.000	21.000	34.000	55.000	0.010	0.020	0.050	0.050	0.030	0.060	0.100	0.080	0.080	0.000	0.110	0.100	0.100	0.060	0.020	0.070	0.030	0.020	0.010
0.986	0.297	8.000	17.000	22.000	39.000	0.000	0.010	0.040	0.040	0.120	0.040	0.140	0.060	0.060	0.000	0.090	0.080	0.050	0.080	0.020	0.080	0.060	0.030	0.000
1.974	0.272	7.000	28.000	30.000	58.000	0.000	0.000	0.060	0.070	0.070	0.020	0.060	0.080	0.120	0.000	0.090	0.120	0.100	0.080	0.060	0.040	0.010	0.010	0.010
0.897	0.288	7.000	12.000	64.000	76.000	0.010	0.010	0.020	0.050	0.040	0.080	0.080	0.180	0.070	0.000	0.050	0.160	0.050	0.040	0.030	0.020	0.030	0.080	0.000
2.221	0.259	8.000	19.000	27.000	46.000	0.000	0.030	0.050	0.030	0.090	0.070	0.040	0.130	0.080	0.000	0.060	0.080	0.060	0.090	0.060	0.040	0.060	0.030	0.000
2.916	0.277	5.000	26.000	36.000	62.000	0.000	0.030	0.050	0.020	0.050	0.060	0.110	0.100	0.080	0.000	0.080	0.120	0.100	0.030	0.060	0.020	0.070	0.020	0.000
1.347	0.283	7.000	15.000	41.000	56.000	0.020	0.020	0.060	0.010	0.100	0.080	0.040	0.110	0.050	0.000	0.080	0.120	0.050	0.050	0.040	0.070	0.070	0.020	0.010
1.435	0.253	7.000	31.000	26.000	57.000	0.010	0.000	0.020	0.040	0.080	0.040	0.110	0.120	0.130	0.000	0.060	0.090	0.080	0.070	0.070	0.010	0.030	0.010	0.030
1.169	0.261	7.000	47.000	17.000	64.000	0.020	0.030	0.030	0.040	0.100	0.020	0.030	0.080	0.150	0.020	0.100	0.070	0.090	0.050	0.040	0.030	0.040	0.060	0.000
0.937	0.240	6.000	35.000	26.000	61.000	0.010	0.010	0.040	0.070	0.060	0.040	0.070	0.100	0.130	0.000	0.080	0.100	0.040	0.070	0.060	0.030	0.040	0.020	0.030
2.016	0.322	6.000	31.000	37.000	68.000	0.000	0.010	0.020	0.040	0.050	0.070	0.060	0.120	0.180	0.000	0.050	0.100	0.090	0.110	0.040	0.020	0.020	0.010	0.010
1.112	0.252	7.000	45.000	36.000	81.000	0.000	0.010	0.040	0.020	0.070	0.030	0.110	0.110	0.140	0.000	0.090	0.130	0.040	0.070	0.050	0.020	0.050	0.010	0.010
0.934	0.248	6.000	26.000	24.000	50.000	0.000	0.030	0.010	0.060	0.100	0.070	0.060	0.040	0.090	0.000	0.120	0.100	0.090	0.120	0.030	0.020	0.020	0.040	0.000
